RNA site location (hg38)	H276_OLIG	H286_OLIG	H344_OLIG	H372_OLIG	H395_OLIG	H406_OLIG	H412_OLIG	H427_OLIG	H444_OLIG
chr1_109388341	0.028	0.024	0.132	0.049	0.028	0.046	0.046	0.061	0.046
chr1_109388349	0.14	0.06	0.19	0.13	0.12	0.19	0.14	0.135	0.11
chr1_109388354	0.42	0.41	0.53	0.46	0.41	0.5	0.57	0.63	0.33
chr1_109388385	0.042	0.033	0.103	0.17	0.122	0.246	0.0975	0.092	0.047
chr1_109388390	0.23	0.14	0.21	0.23	0.29	0.44	0.27	0.18	0.17
chr1_109388395	0.11	0.1	0.1	0.08	0.15	0.08	0.1	0.08	0.14
chr1_109388440	0.17	0.16	0.06	0.2	0.26	0.19	0.2	0.08	0.3
chr1_109388486	0.4	0.36	0.53	0.44	0.47	0.5	0.46	0.26	0.45
chr1_109388487	0.29	0.201	0.328	0.337	0.434	0.244	0.354	0.159	0.27
chr1_109388491	0.044	0.038	0.091	0.06	0.09	0.093	0.103	0.073	0.063
chr1_109388507	0.41	0.23	0.48	0.43	0.41	0.3	0.51	0.6	0.68
chr1_109388516	0.16	0.15	0.11	0.26	0.28	0.14	0.29	0.28	0.18
chr1_109388520	0.125	0.047	0.068	0.087	0.165	0.077	0.1	0.188	0.149
chr1_109388535	0.09	0.17	0.28	0.29	0.19	0.25	0.19	0.19	0.18
chr1_109395358	0.59	0.55	0.46	0.58	0.62	0.71	0.55	0.43	0.61
chr1_109395359	0.46	0.33	0.55	0.43	0.3	0.19	0.22	0.65	0.49
chr1_109395381	0.09	0.06	0.13	0.09	0.18	0.1	0.06	0.09	0.09
chr1_109395385	0.136	0.188	0.339	0.507	0.389	0.306	0.16	0.097	0.298
chr1_109395439	0.56	0.47	0.67	0.56	0.57	0.55	0.56	0.55	0.68
chr1_109395467	0.218	0.077	0.216	0.229	0.304	0.208	0.31	0.167	0.19
chr1_109395471	0.25	0.13	0.28	0.25	0.16	0.5	0.32	0.25	0.24
chr1_109395472	0.103	0.055	0.25	0.152	0.2	0.19	0.121	0.171	0.232
chr1_109395493	0.07	0.114	0.114	0.128	0.189	0.114	0.071	0.179	0.043
chr1_109395840	0.49	0.35	0.6	0.64	0.47	0.73	0.63	0.42	0.5
chr1_109395906	0.16	0.21	0.38	0.45	0.5	0.6	0.475	0.56	0.52
chr1_109418355	0.525	0.31	0.58	0.84	0.59	0.45	0.55	0.3	0.5
chr1_109418423	1	1	0.92	0.92	0.82	1	0.81	0.9	1
chr1_109556246	0.6	0.4	0.5	0.53	0.3	0.67	0.71	0.565	0.84
chr1_109916681	0.176	0.222	0.526	0.476	0.85	0.25	0.42	0.583	0.364
chr1_109919032	1	1	1	1	1	1	1	1	1
chr1_109924087	1	1	1	1	1	1	1	1	1
chr1_1100017	0.211	0.167	0.103	0.25	0.206	0.286	0.086	0.316	0.2085
chr1_1100034	0.294	0.167	0.086	0.325	0.182	0.385	0.098	0.182	0.182
chr1_11028095	0.31	0.78	0.38	0.45	0.67	0.69	0.45	0.22	0.45
chr1_11028102	0.64	1	0.5	1	0.75	0.69	0.86	0.42	0.68
chr1_11028111	0.38	0.28	0.27	0.28	0.33	0.26	0.28	0.21	0.38
chr1_11028143	0.14	0.5	0.38	0.65	0.35	0.14	0.38	0.11	0.43
chr1_11028163	0.36	0.29	0.29	0.43	0.55	0.36	0.28	0.31	0.4
chr1_11028166	0.55	0.78	0.81	0.91	0.89	0.65	0.71	0.6	0.98
chr1_11028205	0.36	0.52	0.73	0.69	0.73	0.61	0.64	0.31	0.68
chr1_11028207	0.25	0.16	0.38	0.52	0.37	0.36	0.39	0.16	0.39
chr1_11029756	0.58	0.4	0.85	0.64	0.645	0.75	0.25	0.65	0.65
chr1_110365994	0.46	0.51	0.44	0.63	0.555	0.69	0.6	0.36	0.62
chr1_110366003	0.71	0.58	0.64	0.69	0.65	0.78	0.8	0.61	0.7
chr1_110366009	0.62	0.51	0.55	0.59	0.63	0.57	0.62	0.53	0.61
chr1_110366010	0.062	0	0	0	0.05	0	0.027	0	0
chr1_110366024	0.32	0.29	0.41	0.49	0.23	0.47	0.34	0.35	0.49
chr1_110366049	0.0945	0.075	0.135	0.159	0.049	0.161	0.065	0.073	0.114
chr1_110366050	0.262	0.264	0.342	0.442	0.295	0.482	0.219	0.167	0.357
chr1_110366051	0.5	0.52	0.47	0.66	0.47	0.58	0.47	0.24	0.61
chr1_110366079	0.13	0.08	0.32	0.36	0.1	0.28	0.1	0.19	0.3
chr1_110367441	0.5	0.3	0.79	0.53	0.26	0.69	0.95	0.29	0.57
chr1_110367461	0.5	0.38	0.56	0.48	0.53	0.46	0.38	0.47	0.38
chr1_110367553	0.429	0.533	0.533	0.533	0.286	0.714	0.583	0.533	0.462
chr1_110367565	0.235	0.286	0.769	0.25	0.4	0.786	0.4	0.4	0.5
chr1_110367575	1	1	1	1	1	1	1	1	0.91
chr1_110367589	0.75	1	0.93	0.78	0.67	1	0.67	0.775	0.77
chr1_110367621	0.42	0.76	0.93	0.56	0.67	0.81	0.83	0.76	0.76
chr1_110367958	0.47	0.44	0.5	0.38	0.45	0.87	0.5	0.25	0.54
chr1_110368030	0.56	0.5	0.48	0.47	0.25	0.73	0.65	0.52	0.79
chr1_110368035	1	1	1	1	0.95	1	0.96	0.96	1
chr1_110368088	0.11	0.12	0.15	0.1	0.11	0.11	0.09	0.09	0.11
chr1_110368089	0.08	0.09	0.47	0.25	0.19	0.34	0.35	0.25	0.13
chr1_110368090	0.25	0.2	0.35	0.55	0.45	0.44	0.46	0.36	0.54
chr1_110368102	0.1	0.08	0.24	0.26	0.27	0.28	0.32	0.21	0.17
chr1_110368104	0.295	0.14	0.3	0.29	0.34	0.34	0.28	0.27	0.31
chr1_110368124	0.068	0.062	0.039	0.087	0.055	0.073	0.093	0.068	0.068
chr1_11059842	1	1	1	1	1	1	1	1	1
chr1_110601904	1	1	0.99	1	1	1	1	1	1
chr1_11066621	0.85	0.79	0.84	0.79	1	0.79	0.77	0.75	0.76
chr1_11088199	0.15	0.14	0.33	0.44	0.205	0.12	0.21	0.2	0.38
chr1_1112951	0.62	0.62	0.38	0.46	0.52	0.82	0.45	0.49	0.42
chr1_1112952	0.2	0.231	0.231	0.36	0.188	0.188	0.294	0.231	0.311
chr1_1112985	0.53	0.69	0.44	0.58	0.83	0.69	0.54	0.71	0.51
chr1_1113261	0.24	0.28	0.47	0.55	0.35	0.45	0.27	0.29	0.23
chr1_1113318	0.74	0.72	0.57	0.69	0.62	0.37	0.69	0.75	0.82
chr1_1113574	0.625	0.625	0.364	0.625	0.6	0.75	0.737	0.611	1
chr1_11148965	0.58	0.39	0.41	0.6	0.67	0.31	0.54	0.76	0.41
chr1_111655243	0.32	0.15	0.15	0.33	0.24	0.21	0.16	0.17	0.21
chr1_111669040	0.84	0.74	0.41	0.76	0.43	0.69	0.67	0.5	0.65
chr1_111670413	0.08	0.15	0.13	0.17	0.29	0.29	0.11	0.16	0.18
chr1_111676235	0.33	0.4	0.4	0.38	0.43	0.4	0.5	0.47	0.21
chr1_111676288	0.41	0.45	0.47	0.35	0.44	0.425	0.17	0.32	0.48
chr1_111970787	1	1	1	1	1	1	1	1	1
chr1_111971935	1	1	1	1	1	1	1	1	1
chr1_112431777	0.5	1	0.44	0.73	1	1	0.4	0.46	1
chr1_112566970	0.39	0.39	0.27	0.35	0.37	0.76	0.38	0.17	0.13
chr1_112566974	0.29	0.29	0.34	0.19	0.21	0.39	0.29	0.46	0.22
chr1_112566985	0.23	0.1	0.41	0.35	0.3	0.35	0.325	0.16	0.48
chr1_112580217	0.314	0.128	0.176	0.189	0.189	0.333	0.265	0.189	0.158
chr1_112580220	0.57	0.32	0.35	0.44	0.38	0.67	0.49	0.41	0.33
chr1_112580269	0.68	0.56	0.73	0.89	0.83	0.85	0.98	0.8	1
chr1_112580287	1	0.86	0.89	1	0.95	1	1	0.86	0.91
chr1_112581515	0.75	0.7	0.8	0.75	0.8	0.75	0.9	0.7	0.722
chr1_112581537	0.32	0.36	0.4	0.5	0.44	0.29	0.62	0.42	0.59
chr1_112581700	0.36	0.69	0.4	0.19	0.31	0.4	0.4	0.4	0.64
chr1_112589297	0.21	0.23	0.35	0.25	0.43	0.21	0.6	0.23	0.52
chr1_112589340	0.083	0.062	0.286	0.182	0.143	0.267	0.44	0.2085	0.235
chr1_112589375	0.31	0.23	0.77	0.3	0.29	0.31	0.58	0.31	0.64
chr1_112622451	0.22	0.13	0.27	0.26	0.25	0.2	0.43	0.25	0.25
chr1_112625489	0.46	0.17	0.27	0.62	0.75	0.52	0.6	0.43	0.67
chr1_112670362	0.26	0.27	0.27	0.24	0.07	0.19	0.32	0.18	0.29
chr1_11277509	0.69	0.73	0.67	0.71	0.83	0.69	0.43	0.62	0.69
chr1_112961848	0.22	0.205	0.2	0.25	0.21	0.33	0.17	0.07	0.06
chr1_112961856	0.33	0.15	0.39	0.23	0.25	0.57	0.18	0.15	0.28
chr1_112961859	0.35	0.25	0.45	0.37	0.42	0.71	0.35	0.54	0.23
chr1_112961863	0.13	0.11	0.12	0.13	0.12	0.25	0.13	0.14	0.16
chr1_112961875	0.25	0.091	0.115	0.189	0.136	0.154	0.154	0.154	0.182
chr1_112961887	0.62	0.33	0.24	0.15	0.21	0.16	0.18	0.19	0.29
chr1_112961891	0.65	0.6	0.57	0.52	0.39	0.62	0.44	0.51	0.35
chr1_112961892	0.15	0.11	0.28	0.33	0.38	0.41	0.14	0.22	0.1
chr1_112961927	0.43	0.58	1	0.55	0.62	1	0.8	0.8	0.5
chr1_112963092	1	0.61	0.55	1	0.36	0.875	1	0.85	0.9
chr1_112979103	0.62	0.64	0.65	0.88	1	1	0.88	1	0.88
chr1_112979113	0.62	0.31	0.5	0.6	0.44	0.54	0.46	0.38	0.47
chr1_112979122	0.7	0.67	0.67	0.57	0.5	0.5	0.25	0.83	0.61
chr1_112979128	0.9	0.5	0.59	1	0.89	0.87	0.64	0.79	0.41
chr1_112979143	1	1	1	1	0.94	0.93	0.93	1	0.79
chr1_112979149	0.61	0.605	0.68	0.64	0.35	0.6	0.44	0.36	0.62
chr1_112979240	0.45	0.75	0.47	0.89	0.8	0.9	0.53	0.69	0.84
chr1_113010035	0.82	0.8	0.8	0.86	0.82	0.78	0.94	0.95	0.82
chr1_113086963	0.21	0.34	0.17	0.09	0.27	0.22	0.42	0.13	0.23
chr1_113086997	0.36	0.43	0.25	0.33	0.46	0.33	0.48	0.2	0.71
chr1_113108999	0.17	0.12	0.2	0.39	0.33	0.35	0.1	0.4	0.49
chr1_113129994	0.417	0.333	0.25	0.417	0.318	0.214	0.625	0.167	0.6
chr1_113130000	0.39	0.5	0.38	0.5	0.6	0.7	0.38	0.31	0.78
chr1_113130012	0.33	0.33	0.24	0.19	0.26	0.57	0.33	0.33	0.5
chr1_113130017	0.37	0.29	0.33	0.52	0.5	0.56	0.52	0.51	0.73
chr1_113130077	1	1	1	1	1	1	1	1	1
chr1_113130083	0.38	0.19	0.25	0.2	0.26	0.43	0.26	0.26	0.33
chr1_113130148	0.27	0.19	0.18	0.27	0.27	0.39	0.23	0.35	0.48
chr1_113131024	0.667	0.846	0.667	0.688	0.667	0.273	0.941	0.667	0.4
chr1_113131031	0.3	0.72	0.42	0.64	0.57	0.4	0.55	0.64	0.59
chr1_113793691	0.2	0.225	0.22	0.31	0.19	0.16	0.26	0.44	0.23
chr1_114405313	1	1	1	1	1	1	1	1	1
chr1_114415270	0.35	0.43	0.48	0.66	0.36	0.44	0.435	0.28	0.51
chr1_114415716	0.217	0.4	0.533	0.25	0.4	0.444	0.647	0.4	0.308
chr1_114490960	0.87	1	0.94	1	0.88	1	0.75	0.45	1
chr1_114492792	0	0	0	0.091	0	0	0.042	0	0.056
chr1_114493227	0.08	0.12	0.35	0.26	0.27	0.17	0.16	0.16	0.06
chr1_114753657	0.29	0.36	0.77	0.44	0.36	0.29	0.4	0.38	0.46
chr1_114754363	1	1	1	1	1	1	1	1	1
chr1_115987371	0.22	0.52	0.25	0.39	0.325	0.32	0.33	0.3	0.78
chr1_115993909	1	1	1	1	1	1	1	1	1
chr1_116033555	0.2	0.24	0.38	0.33	0.355	0.4	0.39	0.28	0.41
chr1_116033583	0.27	0.65	0.42	0.47	0.53	0.56	0.6	0.39	0.53
chr1_116039413	0.19	0.18	0.33	0.17	0.19	0.18	0.27	0.19	0.53
chr1_116054902	1	1	1	1	1	1	1	1	1
chr1_116055131	0.52	0.99	0.48	0.99	0.98	1	0.99	0.97	0.96
chr1_116055546	1	1	1	1	1	1	1	1	1
chr1_116055754	1	1	1	1	1	1	1	1	1
chr1_116056003	1	1	1	1	1	1	1	1	1
chr1_116056064	1	1	0.98	1	1	1	1	0.98	1
chr1_116057321	1	1	1	1	1	0.89	1	1	1
chr1_116062089	0.24	0.23	0.24	0.09	0.23	0.33	0.29	0.21	0.235
chr1_116072176	1	1	1	1	1	1	1	1	1
chr1_116104336	1	0.73	1	0.45	0.32	1	1	0.82	1
chr1_11654924	1	1	1	1	1	1	1	1	1
chr1_11824498	1	1	1	1	1	1	1	1	1
chr1_119143334	0.64	0.29	0.24	0.29	0.31	0.29	0.31	0.2	0.26
chr1_119143356	0.625	0.33	0.58	0.55	0.67	0.7	0.68	0.7	0.58
chr1_119143366	0.214	0.143	0.15	0.194	0.097	0.208	0.421	0.194	0.194
chr1_119143409	0.24	0.15	0.18	0.15	0.2	0.58	0.31	0.19	0.195
chr1_119158164	0.53	0.44	0.42	0.5	0.65	0.91	0.41	1	0.56
chr1_119158165	0.333	0.28	0.273	0.684	0.333	0.6	0.269	0.333	0.429
chr1_119158189	0.85	0.6	1	1	0.64	1	0.62	0.79	0.91
chr1_119180155	1	0.571	1	0.583	0.6	1	0.206	1	1
chr1_1221498	0.87	0.7	0.87	0.86	0.8	0.93	0.93	0.83	0.47
chr1_1221502	0.67	0.71	0.95	0.9	0.82	0.86	0.53	0.76	0.69
chr1_12312480	0.85	0.78	0.46	0.83	0.85	0.6	0.6	0.78	0.75
chr1_1300782	0.08	0.06	0.07	0.11	0.09	0.06	0.08	0.08	0.14
chr1_1302048	0.57	0.57	0.71	0.79	0.64	0.38	0.48	0.75	0.72
chr1_1302049	0.53	0.62	0.69	0.79	0.655	0.38	0.52	0.75	0.72
chr1_1302051	0.53	0.57	0.71	0.79	0.64	0.38	0.48	0.75	0.72
chr1_1302054	0.53	0.62	0.71	0.78	0.665	0.38	0.48	0.75	0.72
chr1_1311606	0.32	0.18	0.2	0.23	0.33	0.27	0.27	0.39	0.27
chr1_1316160	0.45	0.34	0.32	0.26	0.26	0.29	0.17	0.43	0.15
chr1_1316230	0.41	0.61	0.39	0.34	0.37	0.39	0.25	0.39	0.47
chr1_1316461	0.316	0.306	0.28	0.279	0.4	0.209	0.239	0.44	0.306
chr1_1316464	0.385	0.375	0.458	0.444	0.488	0.326	0.278	0.455	0.361
chr1_1316467	0.333	0.324	0.36	0.209	0.386	0.227	0.264	0.348	0.324
chr1_1316800	0.79	0.67	0.9	0.77	0.79	1	0.76	0.73	0.79
chr1_1316802	0.47	0.76	0.32	0.62	0.52	1	0.61	0.36	0.6
chr1_1316841	0.22	0.29	0.42	0.35	0.35	0.35	0.35	0.5	0.17
chr1_1317063	0.667	0.8	0.545	0.5	0.545	0.4	0.429	0.545	0.6
chr1_1317272	0.269	0.154	0.194	0.132	0.108	0.156	0.125	0.25	0.119
chr1_1317274	0.111	0.259	0.194	0.137	0.111	0.103	0.261	0.156	0.175
chr1_1317282	0.185	0.176	0.138	0.122	0.138	0.13	0.152	0.138	0.132
chr1_1317300	0.3	0.182	0.432	0.328	0.361	0.259	0.404	0.333	0.271
chr1_1317343	0.161	0.118	0.122	0.156	0.062	0.122	0.133	0.122	0.044
chr1_1317406	0.31	0.33	0.19	0.26	0.37	0.25	0.23	0.16	0.32
chr1_1318006	0.5	0.77	0.85	0.8	0.91	0.785	0.83	0.4	0.68
chr1_1318042	0.529	0.6	0.538	0.333	0.529	0.529	0.444	0.545	0.318
chr1_1318142	0.167	0.667	0.389	0.238	0.125	0.308	0.276	0.276	0.276
chr1_1318143	0.278	0.273	0.353	0.238	0.12	0.273	0.143	0.3	0.273
chr1_1318395	0.078	0.074	0.049	0.07	0.069	0.07	0.046	0.07	0.1
chr1_1318401	0.16	0.16	0.14	0.12	0.11	0.09	0.2	0.09	0.22
chr1_1318413	0.063	0.074	0.052	0.09	0.15	0.086	0.045	0.073	0.257
chr1_1318423	0.14	0.11	0.34	0.22	0.25	0.24	0.27	0.13	0.31
chr1_1318564	0.75	0.84	0.8	0.68	0.84	0.73	0.79	0.65	0.77
chr1_1342153	1	1	1	1	0.97	1	0.97	1	1
chr1_13767748	0.53	0.64	0.6	0.55	0.95	0.64	0.64	0.8	0.87
chr1_13767765	0.33	0.38	0.38	0.31	0.52	1	0.45	0.64	0.59
chr1_13767854	1	1	1	1	0.86	1	1	0.73	0.83
chr1_13767868	1	0.92	1	1	0.89	1	0.89	0.83	1
chr1_13767901	0.72	0.92	1	0.94	0.83	1	0.89	0.42	0.56
chr1_13767931	0.38	0.52	0.71	0.74	0.45	0.57	0.73	0.38	0.56
chr1_13789996	1	1	1	1	1	1	1	1	1
chr1_1403304	0.25	0.33	0.38	0.18	0.27	0.52	0.35	0.29	0.22
chr1_1403319	0.41	0.59	0.16	0.41	0.31	0.59	0.47	0.61	0.54
chr1_1403344	0.295	0.24	0.14	0.18	0.5	0.37	0.31	0.39	0.28
chr1_1428718	0.028	0.019	0.043	0.024	0.021	0.024	0.064	0.024	0.019
chr1_1428723	0.057	0.0555	0.085	0.044	0.054	0.131	0.043	0.032	0.069
chr1_1428745	0.37	0.68	0.43	0.48	0.44	0.37	0.46	0.53	0.52
chr1_1428746	0.41	0.55	0.37	0.51	0.52	0.53	0.4	0.45	0.52
chr1_1428751	0.16	0.06	0.16	0.15	0.1	0.09	0.15	0.16	0.15
chr1_1428763	0.398	0.333	0.327	0.509	0.527	0.375	0.405	0.416	0.373
chr1_1428789	0.036	0.061	0.061	0.086	0.087	0.146	0.029	0.104	0.041
chr1_1428813	0.23	0.22	0.23	0.235	0.24	0.25	0.16	0.34	0.28
chr1_1428822	0.1	0.08	0.09	0.08	0.12	0.07	0.1	0.1	0.06
chr1_1428834	0.12	0.12	0.15	0.16	0.16	0.08	0.18	0.14	0.145
chr1_1428837	0.072	0.075	0.043	0.08	0.113	0.059	0.058	0.13	0.049
chr1_1428838	0.11	0.08	0.13	0.15	0.13	0.1	0.2	0.16	0.13
chr1_1428839	0.08	0.09	0.11	0.15	0.14	0.11	0.15	0.12	0.115
chr1_1428840	0.17	0.205	0.2	0.21	0.27	0.18	0.25	0.25	0.16
chr1_1428841	0.09	0.09	0.08	0.09	0.12	0.12	0.09	0.09	0.09
chr1_1428853	0.07	0.14	0.08	0.08	0.06	0.1	0.07	0.08	0.1
chr1_1428879	0.11	0.08	0.1	0.19	0.11	0.1	0.11	0.23	0.12
chr1_1428889	0.08	0.1	0.11	0.1	0.07	0.11	0.08	0.16	0.09
chr1_1428906	0.053	0.083	0.056	0.083	0.112	0.086	0.104	0.11	0.065
chr1_1428911	0.102	0.112	0.11	0.071	0.043	0.066	0.083	0.051	0.045
chr1_1428921	0.112	0.096	0.053	0.037	0.06	0.0565	0.06	0.047	0.048
chr1_1428949	0.026	0.044	0.025	0.054	0.033	0.0435	0.055	0.067	0.043
chr1_1428950	0.29	0.29	0.4	0.39	0.365	0.43	0.46	0.34	0.31
chr1_1428982	0.031	0.048	0.033	0.059	0.048	0.069	0.048	0.042	0.071
chr1_1429004	0.068	0.041	0.12	0.104	0.048	0.133	0.071	0.045	0.148
chr1_1429005	0.11	0.145	0.08	0.21	0.15	0.18	0.15	0.11	0.14
chr1_1429006	0.15	0.12	0.15	0.18	0.18	0.16	0.17	0.18	0.15
chr1_1429007	0.16	0.18	0.2	0.175	0.19	0.18	0.17	0.16	0.09
chr1_1429008	0.158	0.255	0.279	0.233	0.149	0.245	0.224	0.189	0.25
chr1_1429009	0.21	0.14	0.19	0.23	0.23	0.2	0.21	0.21	0.14
chr1_1429010	0.29	0.196	0.223	0.299	0.228	0.356	0.263	0.292	0.25
chr1_1429011	0.14	0.23	0.12	0.14	0.14	0.11	0.17	0.27	0.1
chr1_1429012	0.12	0.08	0.16	0.13	0.12	0.07	0.12	0.12	0.1
chr1_1429013	0.027	0.05	0.05	0.044	0.039	0.047	0.071	0.056	0.038
chr1_1429022	0.23	0.2	0.32	0.27	0.27	0.33	0.27	0.31	0.16
chr1_1429046	0.038	0.081	0.067	0.038	0.016	0.03	0.09	0.03	0.038
chr1_1429049	0.058	0.132	0.091	0.059	0.046	0.03	0.031	0.039	0.041
chr1_1429054	0.132	0.061	0.094	0.06	0.058	0.038	0.027	0.145	0.176
chr1_1429058	0.37	0.38	0.47	0.41	0.38	0.42	0.36	0.38	0.21
chr1_1429071	0.144	0.115	0.141	0.125	0.145	0.136	0.1	0.227	0.194
chr1_1429075	0.28	0.26	0.22	0.26	0.26	0.19	0.26	0.4	0.24
chr1_1429078	0.054	0.058	0.108	0.068	0.057	0.03	0.096	0.051	0.036
chr1_1429090	0.28	0.28	0.3	0.27	0.28	0.25	0.27	0.37	0.3
chr1_1429094	0.38	0.42	0.42	0.42	0.39	0.38	0.43	0.46	0.44
chr1_1429101	0.054	0.038	0.05	0.036	0.042	0.041	0.038	0.052	0.066
chr1_1429148	0.024	0.017	0.008	0.019	0.011	0.015	0.013	0.013	0.022
chr1_1429152	0.049	0.035	0.044	0.065	0.061	0.058	0.035	0.082	0.079
chr1_1429158	0.014	0.014	0.014	0.021	0.014	0.016	0.017	0.014	0.014
chr1_1429165	0.038	0.024	0.044	0.063	0.038	0.035	0.058	0.077	0.046
chr1_1429183	0.052	0.088	0.112	0.065	0.045	0.051	0.06	0.088	0.145
chr1_1429184	0.036	0.027	0.03	0.035	0.032	0.036	0.018	0.034	0.032
chr1_1429198	0.012	0.011	0.018	0.021	0.022	0.024	0.011	0.015	0.045
chr1_1429201	0.11	0.16	0.14	0.11	0.11	0.1	0.09	0.17	0.1
chr1_1429227	0.063	0.06	0.043	0.037	0.032	0.025	0.025	0.035	0.025
chr1_1429237	0.061	0.029	0.022	0.031	0.037	0.043	0.056	0.043	0.048
chr1_1429239	0.047	0.026	0.061	0.019	0.035	0.04	0.054	0.05	0.048
chr1_1429241	0.172	0.237	0.215	0.2	0.193	0.157	0.165	0.263	0.286
chr1_1429269	0.1	0.13	0.08	0.08	0.06	0.09	0.09	0.12	0.09
chr1_1429885	0.15	0.1	0.18	0.3	0.22	0.1	0.23	0.23	0.17
chr1_1429930	0.62	0.61	0.58	0.57	0.58	0.48	0.59	0.59	0.71
chr1_1429940	0.21	0.12	0.15	0.14	0.15	0.17	0.15	0.24	0.1
chr1_1429954	1	1	0.961	0.989	1	1	0.991	1	1
chr1_1429960	0.43	0.49	0.41	0.52	0.43	0.59	0.36	0.42	0.4
chr1_1429961	0.56	0.65	0.57	0.65	0.65	0.65	0.65	0.74	0.66
chr1_1429965	0.09	0.14	0.13	0.22	0.08	0.11	0.11	0.13	0.12
chr1_1429978	0.051	0.045	0.038	0.077	0.045	0.045	0.027	0.076	0.036
chr1_1429986	0.23	0.06	0.23	0.23	0.19	0.35	0.27	0.18	0.24
chr1_1429987	0.11	0.07	0.15	0.19	0.2	0.26	0.15	0.08	0.08
chr1_1429990	0.17	0.09	0.175	0.17	0.11	0.18	0.23	0.2	0.18
chr1_1429997	0.025	0.027	0.044	0.039	0.053	0.095	0.072	0.025	0.0415
chr1_1430000	0.3	0.31	0.4	0.31	0.26	0.28	0.35	0.34	0.31
chr1_1430015	0.036	0.031	0.039	0.079	0.039	0.043	0.05	0.036	0.039
chr1_1430041	0.029	0.043	0.06	0.055	0.068	0.136	0.06	0.06	0.092
chr1_1430058	0.44	0.53	0.46	0.54	0.56	0.51	0.49	0.43	0.35
chr1_1430067	0.032	0.025	0.067	0.06	0.063	0.054	0.063	0.021	0.057
chr1_1430086	0.675	0.66	0.65	0.7	0.69	0.76	0.7	0.64	0.65
chr1_1430090	0.036	0.017	0.0245	0.032	0.019	0.03	0.018	0.019	0.097
chr1_1430093	0.14	0.08	0.12	0.12	0.07	0.12	0.11	0.16	0.17
chr1_1430096	0.097	0.048	0.077	0.055	0.056	0.077	0.075	0.07	0.097
chr1_1430097	0.052	0.045	0.063	0.066	0.044	0.051	0.035	0.067	0.035
chr1_1430110	0.59	0.53	0.62	0.605	0.69	0.68	0.59	0.67	0.46
chr1_1430119	0.03	0.017	0.03	0.032	0.033	0.035	0.041	0.039	0.018
chr1_1430120	0.13	0.13	0.18	0.26	0.18	0.19	0.15	0.18	0.14
chr1_1430132	0.23	0.19	0.23	0.31	0.23	0.29	0.29	0.23	0.17
chr1_1430138	0.13	0.11	0.1	0.16	0.11	0.11	0.11	0.1	0.09
chr1_143573009	1	1	1	1	1	1	1	1	1
chr1_143573010	1	1	1	1	1	1	1	1	1
chr1_143573094	1	1	1	1	1	0.73	1	1	1
chr1_143573115	1	1	1	1	1	1	1	1	0.95
chr1_143738191	1	1	1	1	1	1	1	1	1
chr1_143738212	1	0.94	1	1	1	1	1	1	1
chr1_143791376	0.86	0.92	0.94	0.83	0.98	0.75	0.35	1	0.88
chr1_143791422	0.85	0.89	0.5	0.86	0.98	0.83	0.93	0.9	0.6
chr1_145741847	0	0	0.083	0	0	0	0	0.077	0.062
chr1_145773804	0.25	0.34	0.33	0.13	0.29	0.11	0.16	0.13	0.08
chr1_145774996	0.46	0.6	0.88	0.8	0.57	0.8	0.89	0.39	0.67
chr1_145775589	0.75	0.43	0.57	0.67	0.6	0.82	0.83	0.8	0.81
chr1_145775626	0.42	0.45	0.67	0.7	0.6	1	0.64	0.53	0.64
chr1_145783833	0.88	0.91	0.86	0.93	0.88	0.8	0.25	1	0.93
chr1_145914177	0.48	0.69	0.45	0.7	0.69	0.69	0.41	0.71	0.44
chr1_14611516	0.5	0.27	0.36	0.44	1	0.62	0.75	0.5	0.66
chr1_14627039	1	1	1	1	1	1	1	1	1
chr1_14650026	0.38	0.29	0.27	0.21	0.31	0.46	0.38	0.33	0.29
chr1_14663040	0.61	0.69	0.57	0.5	0.62	0.39	0.61	0.4	0.56
chr1_14663045	0.4	0.273	0.327	0.327	0.4	0.143	0.327	0.357	0.31
chr1_14663071	0.195	0.121	0.273	0.417	0.176	0.128	0.218	0.106	0.214
chr1_14663083	0.2	0.18	0.31	0.19	0.26	0.2	0.4	0.19	0.23
chr1_14663100	0.39	0.22	0.42	0.31	0.25	0.17	0.37	0.38	0.33
chr1_14663107	0.2	0.06	0.21	0.19	0.18	0.14	0.2	0.25	0.12
chr1_14663109	0.3	0.44	0.28	0.18	0.52	0.27	0.39	0.34	0.33
chr1_14663212	0.231	0.231	0.231	0.389	0.231	0.128	0.25	0.196	0.34
chr1_14692835	0.25	0.235	0.231	0.235	0.357	0.333	0.156	0.235	0.105
chr1_14692877	0.43	0.62	0.69	0.48	0.41	0.56	0.53	0.19	0.33
chr1_146940335	0.32	0.29	0.45	0.35	0.38	0.355	0.31	0.36	0.56
chr1_146949974	1	1	1	1	1	0.36	1	1	0.29
chr1_146953461	0.35	0.1	0.35	0.29	0.35	0.38	0.19	0.41	0.44
chr1_146966608	0.11	0.26	0.12	0.15	0.1	0.15	0.135	0.07	0.38
chr1_14697013	0.24	0.21	0.34	0.32	0.24	0.08	0.11	0.24	0.33
chr1_146994274	0.95	1	1	1	1	1	1	1	1
chr1_146994537	0.13	0.39	0.87	0.26	0.39	1	0.48	0.39	0.25
chr1_146995599	0.23	0.31	0.19	0.31	0.31	0.31	0.35	0.57	0.33
